Replace Part C10 0603-1uF-16V in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with 0603-1uF-16V from Capacitors.SchLib
Replace Part J14 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J15 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J16 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J17 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J18 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J19 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J20 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J21 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J22 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J23 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J24 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J25 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J26 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J27 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J28 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part J29 CONN_1X3_1.25MM in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with CONN_1X3_1.25MM from New_Parts.SchLib
Replace Part JP9 Testpoint2 in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with Testpoint2 from Misc.SchLib
Replace Part JP10 Testpoint2 in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with Testpoint2 from Misc.SchLib
Replace Part JP11 Testpoint2 in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with Testpoint2 from Misc.SchLib
Replace Part JP12 Testpoint2 in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with Testpoint2 from Misc.SchLib
Replace Part R12 0603-5KR in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with 0603-5KR from Resistors.SchLib
Replace Part R13 0603-5KR in C:\Users\Gaming\Documents\TeamPhantom\Sensors\DAQ-2-A\Connectors.SchDoc with 0603-5KR from Resistors.SchLib
